vendor,contract_file,category,risk_level,lock_in_mechanism,clause_text,keywords_found
Bitbucket,bitbucket.html,data_portability,High,data_restriction,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,2
Bitbucket,bitbucket.html,pricing_terms,High,price_increase_risk,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,8
Bitbucket,bitbucket.html,support_obligations,High,no_support_guarantee,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,6
Bitbucket,bitbucket.html,termination_exit,Medium,automatic_renewal,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,4
Bitbucket,bitbucket.html,service_level,High,no_compensation,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,7
Clickup,clickup.html,pricing_terms,High,price_increase_risk,"ClickUp™ | Terms of Service Brain AI Product Solutions Resources Pricing Enterprise Contact Sales Login Sign Up Terms of Service Privacy Policy Security Policy Cookie Policy Developer terms DPA Subprocessors ClickUp AI Additional Integration Manager Terms of Service These Terms of Service are effective as of June 27, 2025. These Terms of Service (“Terms”) and all Policies listed on clickup.com/terms govern and apply to your use of the free and paid services, software and websites (the “Service(s",7
Clickup,clickup.html,support_obligations,High,no_support_guarantee,"ClickUp™ | Terms of Service Brain AI Product Solutions Resources Pricing Enterprise Contact Sales Login Sign Up Terms of Service Privacy Policy Security Policy Cookie Policy Developer terms DPA Subprocessors ClickUp AI Additional Integration Manager Terms of Service These Terms of Service are effective as of June 27, 2025. These Terms of Service (“Terms”) and all Policies listed on clickup.com/terms govern and apply to your use of the free and paid services, software and websites (the “Service(s",4
Clickup,clickup.html,termination_exit,High,cancellation_penalty,"ClickUp™ | Terms of Service Brain AI Product Solutions Resources Pricing Enterprise Contact Sales Login Sign Up Terms of Service Privacy Policy Security Policy Cookie Policy Developer terms DPA Subprocessors ClickUp AI Additional Integration Manager Terms of Service These Terms of Service are effective as of June 27, 2025. These Terms of Service (“Terms”) and all Policies listed on clickup.com/terms govern and apply to your use of the free and paid services, software and websites (the “Service(s",6
Clickup,clickup.html,service_level,High,no_guarantee,"ClickUp™ | Terms of Service Brain AI Product Solutions Resources Pricing Enterprise Contact Sales Login Sign Up Terms of Service Privacy Policy Security Policy Cookie Policy Developer terms DPA Subprocessors ClickUp AI Additional Integration Manager Terms of Service These Terms of Service are effective as of June 27, 2025. These Terms of Service (“Terms”) and all Policies listed on clickup.com/terms govern and apply to your use of the free and paid services, software and websites (the “Service(s",8
Cloudflare,cloudflare.html,pricing_terms,High,price_increase_risk,"Self-Serve Subscription Agreement | Cloudflare Sign up Languages English English (United Kingdom) Deutsch Español (Latinoamérica) Español (España) Français Italiano 日本語 한국어 Polski Português (Brasil) Русский 繁體中文 简体中文 Platform Connectivity cloud Cloudflare’s connectivity cloud delivers 60+ networking, security, and performance services. Enterprise For large and medium organizations Small business For small organizations Partner Become a Cloudflare partner use cases Modernize applications Accelera",8
Cloudflare,cloudflare.html,support_obligations,High,no_support_guarantee,"Self-Serve Subscription Agreement | Cloudflare Sign up Languages English English (United Kingdom) Deutsch Español (Latinoamérica) Español (España) Français Italiano 日本語 한국어 Polski Português (Brasil) Русский 繁體中文 简体中文 Platform Connectivity cloud Cloudflare’s connectivity cloud delivers 60+ networking, security, and performance services. Enterprise For large and medium organizations Small business For small organizations Partner Become a Cloudflare partner use cases Modernize applications Accelera",2
Cloudflare,cloudflare.html,termination_exit,High,automatic_renewal,"Self-Serve Subscription Agreement | Cloudflare Sign up Languages English English (United Kingdom) Deutsch Español (Latinoamérica) Español (España) Français Italiano 日本語 한국어 Polski Português (Brasil) Русский 繁體中文 简体中文 Platform Connectivity cloud Cloudflare’s connectivity cloud delivers 60+ networking, security, and performance services. Enterprise For large and medium organizations Small business For small organizations Partner Become a Cloudflare partner use cases Modernize applications Accelera",6
Cloudflare,cloudflare.html,service_level,High,no_compensation,"Self-Serve Subscription Agreement | Cloudflare Sign up Languages English English (United Kingdom) Deutsch Español (Latinoamérica) Español (España) Français Italiano 日本語 한국어 Polski Português (Brasil) Русский 繁體中文 简体中文 Platform Connectivity cloud Cloudflare’s connectivity cloud delivers 60+ networking, security, and performance services. Enterprise For large and medium organizations Small business For small organizations Partner Become a Cloudflare partner use cases Modernize applications Accelera",9
Confluence,confluence.html,data_portability,High,data_restriction,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,2
Confluence,confluence.html,pricing_terms,High,price_increase_risk,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,8
Confluence,confluence.html,support_obligations,High,no_support_guarantee,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,6
Confluence,confluence.html,termination_exit,Medium,automatic_renewal,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,4
Confluence,confluence.html,service_level,High,no_compensation,Atlassian Customer Agreement | Atlassian Close View this page in your language ? All languages Choose your language 中文 Deutsch English Español Français Italiano 한국어 Nederlands 日本語 Português Pусский Polski Get it free Products Featured Developers Product Managers IT professionals Business Teams Leadership Teams Featured Developers Product Managers IT professionals Business Teams Leadership Teams See all apps Featured FEATURED APPS Jira Flexible project management Confluence Collaborative knowledg,7
Datadog,datadog.html,pricing_terms,High,price_increase_risk,"Website Terms of Use | Datadog Product The integrated platform for monitoring & security Observability Security Digital Experience Software Delivery Service Management AI Platform Capabilities View pricing Observability End-to-end, simplified visibility into your stack’s health & performance Infrastructure Infrastructure Monitoring Metrics Network Monitoring Container Monitoring Kubernetes Autoscaling Serverless Cloud Cost Management Cloudcraft Storage Management Applications Application Perform",5
Datadog,datadog.html,termination_exit,High,cancellation_penalty,"Website Terms of Use | Datadog Product The integrated platform for monitoring & security Observability Security Digital Experience Software Delivery Service Management AI Platform Capabilities View pricing Observability End-to-end, simplified visibility into your stack’s health & performance Infrastructure Infrastructure Monitoring Metrics Network Monitoring Container Monitoring Kubernetes Autoscaling Serverless Cloud Cost Management Cloudcraft Storage Management Applications Application Perform",3
Datadog,datadog.html,service_level,High,no_compensation,"Website Terms of Use | Datadog Product The integrated platform for monitoring & security Observability Security Digital Experience Software Delivery Service Management AI Platform Capabilities View pricing Observability End-to-end, simplified visibility into your stack’s health & performance Infrastructure Infrastructure Monitoring Metrics Network Monitoring Container Monitoring Kubernetes Autoscaling Serverless Cloud Cost Management Cloudcraft Storage Management Applications Application Perform",5
Digitalocean,digitalocean.html,pricing_terms,High,price_increase_risk,Legal - Terms of Service Agreement Blog Docs Get Support Contact Sales DigitalOcean Products Featured Products Droplets Scalable virtual machines Kubernetes Scale more effectively Gradient™ AI Agentic Cloud Build and scale with AI Cloudways Managed cloud hosting App Platform Get apps to market faster Managed Databases Fully-managed database hosting Compute Droplets Kubernetes CPU-Optimized Droplets Functions App Platform Gradient™ AI Agentic Cloud GPU Droplets 1-Click Models Platform Bare Metal ,7
Digitalocean,digitalocean.html,support_obligations,High,no_support_guarantee,Legal - Terms of Service Agreement Blog Docs Get Support Contact Sales DigitalOcean Products Featured Products Droplets Scalable virtual machines Kubernetes Scale more effectively Gradient™ AI Agentic Cloud Build and scale with AI Cloudways Managed cloud hosting App Platform Get apps to market faster Managed Databases Fully-managed database hosting Compute Droplets Kubernetes CPU-Optimized Droplets Functions App Platform Gradient™ AI Agentic Cloud GPU Droplets 1-Click Models Platform Bare Metal ,7
Digitalocean,digitalocean.html,support_obligations,Medium,standard,Prior TOS available here . Company About Leadership Blog Careers Customers Partners Referral Program Affiliate Program Press Legal Privacy Policy Security Investor Relations Products Overview Droplets Kubernetes Functions App Platform Gradient™ AI GPU Droplets Gradient™ AI Bare Metal GPUs Gradient™ AI 1-Click Models Gradient™ AI Platform Load Balancers Managed Databases Spaces Block Storage Network File Storage API Uptime Identity and Access Management Cloudways Resources Community Tutorials Com,2
Digitalocean,digitalocean.html,termination_exit,High,cancellation_penalty,Legal - Terms of Service Agreement Blog Docs Get Support Contact Sales DigitalOcean Products Featured Products Droplets Scalable virtual machines Kubernetes Scale more effectively Gradient™ AI Agentic Cloud Build and scale with AI Cloudways Managed cloud hosting App Platform Get apps to market faster Managed Databases Fully-managed database hosting Compute Droplets Kubernetes CPU-Optimized Droplets Functions App Platform Gradient™ AI Agentic Cloud GPU Droplets 1-Click Models Platform Bare Metal ,4
Digitalocean,digitalocean.html,service_level,High,no_compensation,Legal - Terms of Service Agreement Blog Docs Get Support Contact Sales DigitalOcean Products Featured Products Droplets Scalable virtual machines Kubernetes Scale more effectively Gradient™ AI Agentic Cloud Build and scale with AI Cloudways Managed cloud hosting App Platform Get apps to market faster Managed Databases Fully-managed database hosting Compute Droplets Kubernetes CPU-Optimized Droplets Functions App Platform Gradient™ AI Agentic Cloud GPU Droplets 1-Click Models Platform Bare Metal ,9
Docker,docker.html,pricing_terms,High,price_increase_risk,"Docker Terms of Service | Docker AI AI Docker for AI Simplifying Agent Development Docker Offload Break free of local constraints Docker MCP Catalog and Toolkit Connect and manage MCP tools Docker Model Runner Local-first LLM inference made easy More resources for developers Docker Brings Compose to the Agent Era: Building AI Agents is Now Easy Docker Accelerates Agent Development Read more Products Products Docker Hardened Images Ship with secure, enterprise-ready images Docker Desktop Containe",6
Docker,docker.html,support_obligations,High,no_support_guarantee,"Docker Terms of Service | Docker AI AI Docker for AI Simplifying Agent Development Docker Offload Break free of local constraints Docker MCP Catalog and Toolkit Connect and manage MCP tools Docker Model Runner Local-first LLM inference made easy More resources for developers Docker Brings Compose to the Agent Era: Building AI Agents is Now Easy Docker Accelerates Agent Development Read more Products Products Docker Hardened Images Ship with secure, enterprise-ready images Docker Desktop Containe",3
Docker,docker.html,termination_exit,High,cancellation_penalty,"Docker Terms of Service | Docker AI AI Docker for AI Simplifying Agent Development Docker Offload Break free of local constraints Docker MCP Catalog and Toolkit Connect and manage MCP tools Docker Model Runner Local-first LLM inference made easy More resources for developers Docker Brings Compose to the Agent Era: Building AI Agents is Now Easy Docker Accelerates Agent Development Read more Products Products Docker Hardened Images Ship with secure, enterprise-ready images Docker Desktop Containe",3
Docker,docker.html,service_level,High,no_guarantee,"Docker Terms of Service | Docker AI AI Docker for AI Simplifying Agent Development Docker Offload Break free of local constraints Docker MCP Catalog and Toolkit Connect and manage MCP tools Docker Model Runner Local-first LLM inference made easy More resources for developers Docker Brings Compose to the Agent Era: Building AI Agents is Now Easy Docker Accelerates Agent Development Read more Products Products Docker Hardened Images Ship with secure, enterprise-ready images Docker Desktop Containe",9
Docusign,docusign.html,pricing_terms,High,price_increase_risk,"DOCUSIGN SITES & SERVICES TERMS AND CONDITIONS | Docusign Skip to main content A Leader in the 2025 Gartner MQ for CLM. Read the report Sales 1-877-720-2040 Search Support Access Documents Products IAM platform Intelligent Agreement Management Create, commit to, and manage agreements with IAM Contract Lifecycle Management Automate your contract lifecycle Iris Agreement AI you can trust Agreement Preparation Intuitively prepare new agreements Navigator Store, manage, and analyze agreements eSigna",10
Docusign,docusign.html,support_obligations,High,no_support_guarantee,"DOCUSIGN SITES & SERVICES TERMS AND CONDITIONS | Docusign Skip to main content A Leader in the 2025 Gartner MQ for CLM. Read the report Sales 1-877-720-2040 Search Support Access Documents Products IAM platform Intelligent Agreement Management Create, commit to, and manage agreements with IAM Contract Lifecycle Management Automate your contract lifecycle Iris Agreement AI you can trust Agreement Preparation Intuitively prepare new agreements Navigator Store, manage, and analyze agreements eSigna",5
Docusign,docusign.html,termination_exit,High,automatic_renewal,"DOCUSIGN SITES & SERVICES TERMS AND CONDITIONS | Docusign Skip to main content A Leader in the 2025 Gartner MQ for CLM. Read the report Sales 1-877-720-2040 Search Support Access Documents Products IAM platform Intelligent Agreement Management Create, commit to, and manage agreements with IAM Contract Lifecycle Management Automate your contract lifecycle Iris Agreement AI you can trust Agreement Preparation Intuitively prepare new agreements Navigator Store, manage, and analyze agreements eSigna",6
Docusign,docusign.html,service_level,High,no_compensation,"DOCUSIGN SITES & SERVICES TERMS AND CONDITIONS | Docusign Skip to main content A Leader in the 2025 Gartner MQ for CLM. Read the report Sales 1-877-720-2040 Search Support Access Documents Products IAM platform Intelligent Agreement Management Create, commit to, and manage agreements with IAM Contract Lifecycle Management Automate your contract lifecycle Iris Agreement AI you can trust Agreement Preparation Intuitively prepare new agreements Navigator Store, manage, and analyze agreements eSigna",6
Fastly,fastly.html,pricing_terms,High,price_increase_risk,"Fastly terms of service | Fastly Fastly EN EN JA DE ES FR Under Attack? (844) 4FASTLY Support Center Log in Why? Products Services Solutions Devs Partners Resources Pricing Talk to an expert Try Fastly Free Fastly EN EN JA DE ES FR Menu Terms of Service PLEASE READ THESE TERMS OF SERVICE (THESE “TERMS”) CAREFULLY. THESE TERMS ARE A BINDING CONTRACT FOR THE USE OF FASTLY, INC. (“FASTLY”) SERVICES. BY ACCESSING OR USING FASTLY SERVICES YOU ARE ACCEPTING THESE TERMS (ON BEHALF OF YOURSELF OR THE EN",9
Fastly,fastly.html,support_obligations,High,no_support_guarantee,"Fastly terms of service | Fastly Fastly EN EN JA DE ES FR Under Attack? (844) 4FASTLY Support Center Log in Why? Products Services Solutions Devs Partners Resources Pricing Talk to an expert Try Fastly Free Fastly EN EN JA DE ES FR Menu Terms of Service PLEASE READ THESE TERMS OF SERVICE (THESE “TERMS”) CAREFULLY. THESE TERMS ARE A BINDING CONTRACT FOR THE USE OF FASTLY, INC. (“FASTLY”) SERVICES. BY ACCESSING OR USING FASTLY SERVICES YOU ARE ACCEPTING THESE TERMS (ON BEHALF OF YOURSELF OR THE EN",4
Fastly,fastly.html,termination_exit,Medium,standard,"Fastly terms of service | Fastly Fastly EN EN JA DE ES FR Under Attack? (844) 4FASTLY Support Center Log in Why? Products Services Solutions Devs Partners Resources Pricing Talk to an expert Try Fastly Free Fastly EN EN JA DE ES FR Menu Terms of Service PLEASE READ THESE TERMS OF SERVICE (THESE “TERMS”) CAREFULLY. THESE TERMS ARE A BINDING CONTRACT FOR THE USE OF FASTLY, INC. (“FASTLY”) SERVICES. BY ACCESSING OR USING FASTLY SERVICES YOU ARE ACCEPTING THESE TERMS (ON BEHALF OF YOURSELF OR THE EN",6
Fastly,fastly.html,service_level,High,no_compensation,"Fastly terms of service | Fastly Fastly EN EN JA DE ES FR Under Attack? (844) 4FASTLY Support Center Log in Why? Products Services Solutions Devs Partners Resources Pricing Talk to an expert Try Fastly Free Fastly EN EN JA DE ES FR Menu Terms of Service PLEASE READ THESE TERMS OF SERVICE (THESE “TERMS”) CAREFULLY. THESE TERMS ARE A BINDING CONTRACT FOR THE USE OF FASTLY, INC. (“FASTLY”) SERVICES. BY ACCESSING OR USING FASTLY SERVICES YOU ARE ACCEPTING THESE TERMS (ON BEHALF OF YOURSELF OR THE EN",9
Fly,fly.html,pricing_terms,High,price_increase_risk,Fly.io Terms of Service · Fly Docs Skip to content Fly App performance optimization Docs Need a Logo? View Our Brand Assets Open main menu Fly App performance optimization Docs Pricing Support Sign In Sign Up Getting Started Toggle Getting Started section Quickstart: Launch your app Launch HelloFly Demo App Deep Dive Demo App Choose a Language or Framework Fly.io Essentials Troubleshoot Deployments Guides (Blueprints) Toggle Guides (Blueprints) section Guides Overview Apps on Fly.io Toggle Apps ,7
Fly,fly.html,pricing_terms,Medium,standard,"support@fly.io 5. DISCLAIMER EXCEPT AS EXPRESSLY PROVIDED IN THIS SECTION AND TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, THE FLY.IO SERVICES AND DOCUMENTATION ARE PROVIDED “AS IS,” “AS AVAILABLE,” AND WITH ALL FAULTS, AND FLY.IO AND ITS AFFILIATES, SUPPLIERS, CONTRACTORS, AND LICENSORS HEREBY DISCLAIM ALL OTHER WARRANTIES, REPRESENTATIONS, OR CONDITIONS, RELATING TO THE FLY.IO SERVICES AND DOCUMENTATION WHETHER EXPRESS, IMPLIED OR STATUTORY, INCLUDING, WITHOUT LIMITATION, ANY IMPLIED WAR",3
Fly,fly.html,pricing_terms,Medium,standard,"Force Majeure.  Fly.io will not be liable hereunder by reason of any failure or delay in the performance of its obligations under this Agreement on account of strikes, shortages, riots, insurrection, fires, flood, storm, explosions, acts of God, war, governmental action, labor conditions, earthquakes, material shortages or any other cause that is beyond the reasonable control of Fly.io. Independent Contractors. Customer’s relationship to Fly.io is that of an independent contractor, and neither p",4
Fly,fly.html,support_obligations,Medium,standard,"Force Majeure.  Fly.io will not be liable hereunder by reason of any failure or delay in the performance of its obligations under this Agreement on account of strikes, shortages, riots, insurrection, fires, flood, storm, explosions, acts of God, war, governmental action, labor conditions, earthquakes, material shortages or any other cause that is beyond the reasonable control of Fly.io. Independent Contractors. Customer’s relationship to Fly.io is that of an independent contractor, and neither p",2
Fly,fly.html,termination_exit,High,cancellation_penalty,Fly.io Terms of Service · Fly Docs Skip to content Fly App performance optimization Docs Need a Logo? View Our Brand Assets Open main menu Fly App performance optimization Docs Pricing Support Sign In Sign Up Getting Started Toggle Getting Started section Quickstart: Launch your app Launch HelloFly Demo App Deep Dive Demo App Choose a Language or Framework Fly.io Essentials Troubleshoot Deployments Guides (Blueprints) Toggle Guides (Blueprints) section Guides Overview Apps on Fly.io Toggle Apps ,3
